price,location,size,Price_per_m2,bedroom,toi_list,mat_tien,floor,duong_vao,phap_ly,noi_that
2.45,17,30.0,136.67,3.0,3.0,5.0,3.0,2.5,0,0
6.15,17,45.0,98.68,4.0,5.0,4.636274509803922,7.0,4.9,0,0
3.75,10,38.0,111.11,3.0,4.0,4.636274509803922,5.0,5.0,0,0
4.0,9,36.0,160.0,4.0,5.0,4.0,5.0,3.0,0,0
7.35,3,51.0,233.33,4.0,3.616707616707617,4.8,4.448275862068965,4.9,0,0
14.0,3,60.0,114.29,4.0,5.0,6.3,5.0,8.0,0,0
4.0,8,35.0,118.75,3.411202778983934,3.616707616707617,4.636274509803922,5.0,4.9,0,0
4.75,1,40.0,85.48,3.0,4.0,4.636274509803922,5.0,4.9,0,0
2.65,6,31.0,81.29,4.0,3.0,4.24,5.0,1.8,0,0
2.52,6,31.0,118.75,3.0,4.0,4.26,3.0,2.0,0,0
3.8,9,32.0,103.64,4.0,3.0,4.0,5.0,3.0,0,0
5.7,9,55.0,156.0,3.0,4.0,4.0,4.0,3.0,0,0
7.8,9,50.0,98.65,4.0,3.0,4.636274509803922,4.0,4.9,0,0
3.65,19,37.0,175.0,4.0,3.616707616707617,4.636274509803922,4.0,4.9,0,0
7.0,9,40.0,133.33,3.0,3.616707616707617,7.0,5.0,10.0,0,0
7.0,9,40.0,175.0,4.0,4.0,7.0,5.0,10.0,0,0
8.0,8,60.0,133.33,4.0,5.0,5.0,5.0,4.0,0,0
3.5,8,35.0,100.0,3.0,4.0,3.5,5.0,5.0,0,0
4.7,9,37.0,127.03,4.0,4.0,3.7,5.0,3.0,0,0
4.2,9,38.0,110.53,4.0,4.0,5.8,5.0,2.5,0,0
3.5,10,36.0,97.22,4.0,4.0,3.8,6.0,4.9,0,0
8.9,10,72.0,123.61,4.0,3.0,4.636274509803922,4.0,4.9,0,0
2.55,15,42.0,60.71,4.0,3.616707616707617,4.636274509803922,4.0,4.9,0,0
2.68,10,35.0,76.57,3.0,4.0,4.0,5.0,4.9,0,0
3.89,5,39.0,99.74,3.0,3.0,4.0,5.0,3.0,0,0
3.0,6,31.0,96.77,3.411202778983934,3.616707616707617,4.636274509803922,5.0,4.9,0,0
3.55,10,45.0,78.89,3.0,4.0,4.636274509803922,5.0,4.9,0,0
11.5,9,56.0,205.36,3.0,4.0,3.5,7.0,8.0,0,0
4.75,9,35.0,135.71,4.0,5.0,4.2,5.0,4.0,0,0
2.75,19,22.0,125.0,4.0,4.0,4.636274509803922,5.0,4.9,0,0
3.4,16,50.0,68.0,3.0,3.616707616707617,4.0,5.0,2.0,0,0
4.8,10,45.0,106.67,4.0,5.0,4.636274509803922,5.0,4.9,0,0
1.48,16,16.0,92.5,3.0,2.0,4.636274509803922,4.448275862068965,4.9,0,0
7.1,7,38.0,186.84,3.0,3.0,4.0,4.0,4.0,0,0
7.1,7,38.0,186.84,4.0,3.0,4.0,4.0,6.0,0,0
15.25,3,70.0,217.86,4.0,3.616707616707617,5.0,6.0,4.9,0,0
7.3,0,38.0,192.1,2.0,2.0,4.1,3.0,4.0,0,0
13.8,19,56.0,246.43,4.0,5.0,4.636274509803922,5.0,5.0,0,0
11.5,3,80.0,143.75,3.0,3.0,5.9,3.0,4.9,0,0
3.45,1,50.0,69.0,4.0,3.616707616707617,4.636274509803922,3.0,4.9,0,0
14.0,16,80.0,175.0,4.0,3.616707616707617,5.2,4.448275862068965,4.9,0,0
4.1,10,73.8,55.56,3.411202778983934,3.616707616707617,4.5,3.0,4.9,0,0
3.6,9,35.0,102.86,3.0,3.0,4.636274509803922,4.0,4.9,0,0
11.0,8,65.0,169.23,4.0,3.616707616707617,4.636274509803922,5.0,4.9,0,0
5.75,9,42.0,136.9,3.0,4.0,3.76,5.0,3.5,0,0
3.05,9,34.0,89.71,4.0,4.0,4.636274509803922,4.0,3.0,0,0
2.05,9,30.0,68.33,4.0,3.0,4.636274509803922,5.0,4.9,0,0
2.6,9,35.0,74.29,3.0,4.0,4.636274509803922,5.0,4.9,0,0
2.6,9,35.0,74.29,4.0,4.0,4.636274509803922,4.0,4.9,0,0
10.5,8,37.0,283.78,4.0,4.0,4.1,4.0,4.9,0,0
7.55,16,34.0,222.06,4.0,3.616707616707617,5.9,6.0,5.0,0,0
7.55,16,34.0,222.06,4.0,6.0,5.9,6.0,5.0,0,0
5.98,8,38.0,157.37,3.0,4.0,4.636274509803922,6.0,4.9,0,0
3.25,9,40.0,81.25,4.0,3.616707616707617,3.7,4.0,4.9,0,0
6.0,15,64.0,93.75,1.0,1.0,5.0,1.0,4.9,0,0
7.2,10,60.0,120.0,4.0,4.0,4.636274509803922,6.0,4.9,0,0
4.8,9,64.0,75.0,4.0,3.0,4.5,4.0,4.0,0,0
3.4,10,33.0,103.03,3.0,4.0,4.636274509803922,5.0,4.9,0,0
9.5,1,76.5,124.18,4.0,3.0,4.636274509803922,4.0,4.9,0,0
6.95,8,50.0,139.0,4.0,4.0,4.0,4.0,3.0,0,0
3.18,12,35.0,90.86,4.0,4.0,4.0,5.0,3.0,0,0
4.25,9,30.0,141.67,3.411202778983934,3.616707616707617,3.4,5.0,2.5,0,0
4.1,9,33.0,124.24,3.0,4.0,3.3,5.0,2.0,0,0
20.0,3,80.0,250.0,3.0,4.0,4.636274509803922,5.0,4.9,0,0
4.25,9,30.0,141.67,4.0,4.0,3.4,5.0,2.5,0,0
4.5,1,71.0,63.38,3.0,4.0,4.636274509803922,3.0,4.9,0,0
4.3,9,30.0,143.33,4.0,4.0,3.4,5.0,2.5,0,0
4.35,9,35.0,124.29,3.0,4.0,4.0,5.0,3.0,0,0
4.25,9,30.0,141.67,3.0,4.0,3.4,5.0,2.5,0,0
4.25,5,40.0,106.25,3.0,4.0,4.636274509803922,4.448275862068965,4.9,0,0
4.85,9,35.0,138.57,4.0,3.0,5.0,5.0,4.0,0,0
4.2,12,35.0,120.0,3.0,4.0,4.2,5.0,2.0,0,0
2.5,9,36.0,69.44,4.0,3.0,3.5,4.0,3.0,0,0
4.3,16,23.0,186.96,1.0,2.0,3.2,3.0,7.0,0,0
2.95,12,36.0,81.94,3.0,3.0,4.636274509803922,5.0,4.9,0,0
11.6,19,40.0,290.0,3.0,4.0,4.636274509803922,6.0,4.9,0,0
2.92,15,26.0,112.31,2.0,3.616707616707617,3.1,4.0,4.9,0,0
2.2,15,39.0,56.41,4.0,3.0,5.0,5.0,3.0,0,0
2.7,6,85.0,31.76,2.0,1.0,5.0,3.0,2.5,0,0
16.2,3,118.0,137.29,2.0,3.0,4.8,3.0,11.0,0,0
3.9,12,32.0,121.88,3.0,4.0,3.4,5.0,2.5,0,0
4.3,1,36.0,119.44,3.411202778983934,3.616707616707617,4.636274509803922,5.0,4.9,0,0
3.3,12,32.0,103.12,4.0,4.0,4.0,4.0,2.5,0,0
1.7,15,41.0,41.46,3.0,4.0,4.0,1.0,3.0,0,0
